uid;value;date;station_id
217;29;2022-08-23T13:00:00Z;152210170
218;29;2022-08-23T12:00:00Z;152210170
219;30;2022-08-23T19:00:00Z;152210170
220;30;2022-08-23T18:00:00Z;152210170
221;30;2022-08-23T17:00:00Z;152210170
222;29;2022-08-23T16:00:00Z;152210170
223;31;2022-08-24T04:00:00Z;152210170
224;31;2022-08-24T03:00:00Z;152210170
225;31;2022-08-24T02:00:00Z;152210170
226;31;2022-08-24T01:00:00Z;152210170
227;31;2022-08-24T00:00:00Z;152210170
228;31;2022-08-23T23:00:00Z;152210170
229;30;2022-08-23T22:00:00Z;152210170
230;30;2022-08-23T21:00:00Z;152210170
231;30;2022-08-23T20:00:00Z;152210170
232;30;2022-08-24T09:00:00Z;152210170
233;30;2022-08-24T08:00:00Z;152210170
234;30;2022-08-24T07:00:00Z;152210170
235;31;2022-08-24T06:00:00Z;152210170
236;31;2022-08-24T05:00:00Z;152210170
237;30;2022-08-24T11:00:00Z;152210170
238;30;2022-08-24T10:00:00Z;152210170
239;29;2022-08-24T14:00:00Z;152210170
240;29;2022-08-24T13:00:00Z;152210170
241;29;2022-08-24T12:00:00Z;152210170
242;28;2022-08-24T18:00:00Z;152210170
243;28;2022-08-24T17:00:00Z;152210170
244;28;2022-08-24T16:00:00Z;152210170
245;29;2022-08-24T15:00:00Z;152210170
246;28;2022-08-25T04:00:00Z;152210170
247;28;2022-08-25T03:00:00Z;152210170
248;28;2022-08-25T02:00:00Z;152210170
249;28;2022-08-25T01:00:00Z;152210170
250;28;2022-08-25T00:00:00Z;152210170
251;28;2022-08-24T23:00:00Z;152210170
252;28;2022-08-24T22:00:00Z;152210170
253;28;2022-08-24T21:00:00Z;152210170
254;28;2022-08-24T20:00:00Z;152210170
255;28;2022-08-24T19:00:00Z;152210170
256;28;2022-08-25T06:00:00Z;152210170
257;28;2022-08-25T05:00:00Z;152210170
258;28;2022-08-25T09:00:00Z;152210170
259;28;2022-08-25T08:00:00Z;152210170
260;28;2022-08-25T07:00:00Z;152210170
261;28;2022-08-25T13:00:00Z;152210170
262;29;2022-08-25T12:00:00Z;152210170
263;28;2022-08-25T11:00:00Z;152210170
264;28;2022-08-25T10:00:00Z;152210170
265;28;2022-08-25T19:00:00Z;152210170
266;28;2022-08-25T18:00:00Z;152210170
267;28;2022-08-25T17:00:00Z;152210170
268;28;2022-08-25T16:00:00Z;152210170
269;28;2022-08-25T15:00:00Z;152210170
270;28;2022-08-25T14:00:00Z;152210170
271;27;2022-08-26T05:00:00Z;152210170
272;27;2022-08-26T04:00:00Z;152210170
273;27;2022-08-26T03:00:00Z;152210170
274;27;2022-08-26T02:00:00Z;152210170
275;27;2022-08-26T01:00:00Z;152210170
276;27;2022-08-26T00:00:00Z;152210170
277;27;2022-08-25T23:00:00Z;152210170
278;27;2022-08-25T22:00:00Z;152210170
279;27;2022-08-25T21:00:00Z;152210170
280;28;2022-08-25T20:00:00Z;152210170
281;28;2022-08-26T09:00:00Z;152210170
282;28;2022-08-26T08:00:00Z;152210170
283;28;2022-08-26T07:00:00Z;152210170
284;27;2022-08-26T06:00:00Z;152210170
285;30;2022-08-26T13:00:00Z;152210170
286;29;2022-08-26T12:00:00Z;152210170
287;29;2022-08-26T11:00:00Z;152210170
288;28;2022-08-26T10:00:00Z;152210170
289;32;2022-08-26T19:00:00Z;152210170
290;31;2022-08-26T18:00:00Z;152210170
291;31;2022-08-26T17:00:00Z;152210170
292;30;2022-08-26T16:00:00Z;152210170
293;30;2022-08-26T15:00:00Z;152210170
294;30;2022-08-26T14:00:00Z;152210170
295;40;2022-08-27T05:00:00Z;152210170
296;39;2022-08-27T04:00:00Z;152210170
297;38;2022-08-27T03:00:00Z;152210170
298;37;2022-08-27T02:00:00Z;152210170
299;36;2022-08-27T01:00:00Z;152210170
300;35;2022-08-27T00:00:00Z;152210170
301;34;2022-08-26T23:00:00Z;152210170
302;34;2022-08-26T22:00:00Z;152210170
303;33;2022-08-26T21:00:00Z;152210170
304;32;2022-08-26T20:00:00Z;152210170
305;43;2022-08-27T07:00:00Z;152210170
306;42;2022-08-27T06:00:00Z;152210170
307;45;2022-08-27T09:00:00Z;152210170
308;44;2022-08-27T08:00:00Z;152210170
309;48;2022-08-27T11:00:00Z;152210170
310;47;2022-08-27T10:00:00Z;152210170
311;57;2022-08-27T18:00:00Z;152210170
312;56;2022-08-27T17:00:00Z;152210170
313;55;2022-08-27T16:00:00Z;152210170
314;53;2022-08-27T15:00:00Z;152210170
315;52;2022-08-27T14:00:00Z;152210170
316;51;2022-08-27T13:00:00Z;152210170
317;49;2022-08-27T12:00:00Z;152210170
318;60;2022-08-27T20:00:00Z;152210170
319;59;2022-08-27T19:00:00Z;152210170
320;68;2022-08-28T04:00:00Z;152210170
321;67;2022-08-28T03:00:00Z;152210170
322;66;2022-08-28T02:00:00Z;152210170
323;65;2022-08-28T01:00:00Z;152210170
324;64;2022-08-28T00:00:00Z;152210170
